Designator,Mid X,Mid Y,Rotation,Layer
D1,130.0,-72.0,90.0,top
D10,132.0,-80.8,270.0,top
D100,152.0,-111.6,270.0,top
D101,130.0,-116.0,90.0,top
D102,132.0,-116.0,270.0,top
D103,135.0,-116.0,90.0,top
D104,137.0,-116.0,270.0,top
D105,140.0,-116.0,90.0,top
D106,142.0,-116.0,270.0,top
D107,145.0,-116.0,90.0,top
D108,147.0,-116.0,270.0,top
D109,150.0,-116.0,90.0,top
D11,135.0,-80.8,90.0,top
D110,152.0,-116.0,270.0,top
D12,137.0,-80.8,270.0,top
D13,130.0,-85.2,90.0,top
D14,132.0,-85.2,270.0,top
D15,135.0,-85.2,90.0,top
D16,137.0,-85.2,270.0,top
D17,130.0,-89.6,90.0,top
D18,132.0,-89.6,270.0,top
D19,135.0,-89.6,90.0,top
D2,132.0,-72.0,270.0,top
D20,137.0,-89.6,270.0,top
D21,130.0,-94.0,90.0,top
D22,132.0,-94.0,270.0,top
D23,135.0,-94.0,90.0,top
D24,137.0,-94.0,270.0,top
D25,130.0,-98.4,90.0,top
D26,132.0,-98.4,270.0,top
D27,135.0,-98.4,90.0,top
D28,137.0,-98.4,270.0,top
D29,130.0,-102.8,90.0,top
D3,135.0,-72.0,90.0,top
D30,132.021008,-102.713928,270.0,top
D31,135.0,-102.8,90.0,top
D32,137.0,-102.8,270.0,top
D33,130.0,-107.2,90.0,top
D34,132.0,-107.2,270.0,top
D35,135.0,-107.2,90.0,top
D36,137.0,-107.2,270.0,top
D37,140.0,-72.0,90.0,top
D38,142.0,-72.0,270.0,top
D39,140.0,-76.4,90.0,top
D4,137.0,-72.0,270.0,top
D40,142.0,-76.4,270.0,top
D41,140.0,-80.8,90.0,top
D42,142.0,-80.8,270.0,top
D43,140.0,-85.2,90.0,top
D44,142.0,-85.2,270.0,top
D45,140.0,-89.6,90.0,top
D46,142.0,-89.6,270.0,top
D47,140.0,-94.0,90.0,top
D48,142.0,-94.0,270.0,top
D49,140.0,-98.4,90.0,top
D5,130.0,-76.4,90.0,top
D50,142.0,-98.4,270.0,top
D51,140.0,-102.8,90.0,top
D52,142.0,-102.8,270.0,top
D53,140.0,-107.2,90.0,top
D54,142.0,-107.2,270.0,top
D55,145.0,-72.0,90.0,top
D56,147.0,-72.0,270.0,top
D57,145.0,-76.4,90.0,top
D58,147.0,-76.4,270.0,top
D59,145.0,-80.8,90.0,top
D6,132.0,-76.4,270.0,top
D60,147.0,-80.8,270.0,top
D61,145.0,-85.2,90.0,top
D62,147.0,-85.2,270.0,top
D63,145.0,-89.6,90.0,top
D64,147.0,-89.6,270.0,top
D65,145.0,-94.0,90.0,top
D66,147.0,-94.0,270.0,top
D67,145.0,-98.4,90.0,top
D68,147.0,-98.4,270.0,top
D69,145.0,-102.8,90.0,top
D7,135.0,-76.4,90.0,top
D70,147.0,-102.8,270.0,top
D71,145.0,-107.2,90.0,top
D72,147.0,-107.2,270.0,top
D73,150.0,-72.0,90.0,top
D74,152.0,-72.0,270.0,top
D75,150.0,-76.4,90.0,top
D76,152.0,-76.4,270.0,top
D77,150.0,-80.8,90.0,top
D78,152.0,-80.8,270.0,top
D79,150.0,-85.2,90.0,top
D8,137.0,-76.4,270.0,top
D80,152.0,-85.2,270.0,top
D81,150.0,-89.6,90.0,top
D82,152.0,-89.6,270.0,top
D83,150.0,-94.0,90.0,top
D84,152.0,-94.0,270.0,top
D85,150.0,-98.4,90.0,top
D86,152.0,-98.4,270.0,top
D87,150.0,-102.8,90.0,top
D88,152.0,-102.8,270.0,top
D89,150.0,-107.2,90.0,top
D9,130.0,-80.8,90.0,top
D90,152.0,-107.2,270.0,top
D91,130.0,-111.6,90.0,top
D92,132.0,-111.6,270.0,top
D93,135.0,-111.6,90.0,top
D94,137.0,-111.6,270.0,top
D95,140.0,-111.6,90.0,top
D96,142.0,-111.6,270.0,top
D97,145.0,-111.6,90.0,top
D98,147.0,-111.6,270.0,top
D99,150.0,-111.6,90.0,top
J1,124.73,-94.06,0.0,top
J9,120.6,-94.06,0.0,top
