Designator,Footprint,Quantity,Value,LCSC Part #
AE2,Texas_SWRA117D_2.4GHz_Left,1,Antenna_Shield,
"C1, C2",0603,2,12-25pF,
C3,0603,1,10u,
"C4, C5",0603,2,1u,
D1,0603,1,LED,
"J1, J2, J7, J9",Jumpper-triangle,4,Jumper_2,
"J4, J5",PinHeader_1x15_P2.54mm_Vertical,2,Conn_01x15_Pin,
K1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal,
"R2, R3",0603,2,5.1K,
R4,0603,1,R,
U1,QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm_ThermalVias,1,~,
U2,TSSOP-20_4.4x6.5mm_P0.65mm,1,~,
U3,SOP-16_3.9x9.9mm_P1.27mm,1,~,
U4,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
U5,SOT-23-5,1,ME6211C33M5,
U6,SOT-23-3,1,XC6206PxxxMR,
