Designator,Mid X,Mid Y,Rotation,Layer
C1,172.78,-115.1,0.0,top
C2,176.075,-115.1,180.0,top
C3,172.9,-119.625,270.0,top
C4,172.9,-122.9,90.0,top
C5,181.1,-123.225,270.0,top
D1,170.2,-125.1,90.0,top
J4,166.7,-115.72,0.0,top
J5,187.0,-115.74,0.0,top
K1,181.5,-116.05,0.0,top
R2,183.7,-125.125,90.0,top
R3,183.7,-121.825,270.0,top
R4,170.2,-121.775,270.0,top
U1,175.543972,-109.380999,0.0,top
U2,176.631472,-101.280999,270.0,top
U3,176.693972,-103.126,90.0,bottom
U4,176.88,-132.1,0.0,top
U5,177.1625,-123.05,180.0,top
U6,180.8,-123.5625,90.0,bottom
